Location,Area,Bedrooms,Bathrooms,Floors,Property_Age,Parking,Kitchen,Balcony,Furnishing,Property_Type,Construction_Quality,Price
Kadapa,636,1,2,2,16,No,Yes,3,Semi Furnished,Apartment,Medium,3379000.0
Mumbai,3860,3,2,2,12,No,Yes,2,Fully Furnished,Apartment,Low,59024000.0
Rajahmundry,3505,2,4,3,6,No,Yes,1,Unfurnished,Apartment,Medium,20526000.0
Tirupati,4052,2,3,1,8,Yes,Yes,1,Semi Furnished,Apartment,High,35332000.0
Rajahmundry,518,5,2,2,11,Yes,Yes,2,Semi Furnished,Plot,Medium,4218000.0
Tirupati,2742,2,3,2,28,Yes,Yes,1,Fully Furnished,Apartment,High,25419000.0
Visakhapatnam,948,5,2,3,13,No,Yes,2,Unfurnished,Plot,High,7216000.0
Visakhapatnam,2448,1,1,2,13,Yes,Yes,2,Unfurnished,Villa,High,28209000.0
Delhi,1445,2,1,2,14,Yes,Yes,0,Fully Furnished,Independent House,High,25779000.0
Nellore,4736,1,3,1,2,Yes,Yes,1,Unfurnished,Plot,High,24063000.0
Delhi,2420,1,3,4,14,Yes,Yes,2,Fully Furnished,Apartment,Low,31540000.0
Ongole,3477,2,1,2,18,Yes,Yes,1,Semi Furnished,Villa,Low,24569000.0
Kurnool,4688,1,4,3,23,Yes,Yes,1,Fully Furnished,Apartment,Low,26515000.0
Guntur,4515,2,1,1,19,Yes,Yes,3,Semi Furnished,Villa,High,46841000.0
Nellore,738,2,2,3,13,Yes,Yes,1,Fully Furnished,Independent House,Medium,6394000.0
Kakinada,704,2,4,1,7,Yes,Yes,2,Semi Furnished,Villa,Medium,7518000.0
Srikakulam,3107,3,1,1,4,Yes,Yes,0,Semi Furnished,Villa,High,26188000.0
Chennai,4840,1,4,2,29,No,Yes,1,Fully Furnished,Independent House,Medium,56328000.0
Vijayawada,3888,4,4,2,18,Yes,Yes,2,Semi Furnished,Independent House,High,38315000.0
Pune,3472,2,4,2,30,Yes,No,3,Unfurnished,Villa,Medium,43630000.0
Chennai,4890,1,3,4,3,Yes,Yes,1,Fully Furnished,Apartment,High,63896000.0
Hyderabad,3187,5,1,4,13,No,Yes,0,Unfurnished,Plot,Medium,22380000.0
Kakinada,4666,2,3,3,15,Yes,Yes,1,Semi Furnished,Apartment,Medium,30270000.0
Bengaluru,1848,2,3,2,19,Yes,Yes,2,Semi Furnished,Plot,Low,13652000.0
Bengaluru,4900,4,2,4,23,Yes,Yes,1,Semi Furnished,Independent House,Medium,61209000.0
Kadapa,1316,3,2,2,5,Yes,Yes,1,Fully Furnished,Apartment,Medium,9791000.0
Mumbai,1320,3,4,4,22,Yes,Yes,3,Semi Furnished,Independent House,High,26319000.0
Pune,692,2,4,4,24,Yes,Yes,1,Unfurnished,Villa,Medium,8963000.0
Tirupati,2276,1,2,1,30,No,Yes,0,Unfurnished,Villa,Medium,18394000.0
Guntur,4145,5,2,2,5,No,Yes,1,Fully Furnished,Apartment,Medium,32146000.0
Rajahmundry,750,5,1,2,2,No,Yes,3,Unfurnished,Independent House,Medium,6764000.0
Pune,2288,1,4,4,14,Yes,Yes,2,Fully Furnished,Apartment,Medium,28243000.0
Visakhapatnam,4200,2,4,2,28,No,Yes,1,Fully Furnished,Apartment,Low,34149000.0
Bengaluru,2963,5,2,4,2,Yes,Yes,1,Semi Furnished,Plot,Medium,27251000.0
Bengaluru,1667,3,1,2,10,Yes,Yes,3,Unfurnished,Villa,High,28379000.0
Chennai,4393,1,2,1,2,No,Yes,3,Unfurnished,Apartment,High,46693000.0
Chennai,1596,4,2,2,27,Yes,Yes,3,Unfurnished,Villa,Medium,19360000.0
Vijayawada,3179,2,3,1,9,Yes,Yes,1,Semi Furnished,Plot,Medium,17925000.0
Hyderabad,2347,1,4,3,17,Yes,Yes,0,Fully Furnished,Independent House,Medium,29555000.0
Chennai,4404,5,1,2,0,Yes,Yes,3,Unfurnished,Apartment,Low,37510000.0
Anantapur,1004,2,3,2,15,No,Yes,2,Unfurnished,Villa,High,8241000.0
Visakhapatnam,2121,3,4,2,15,Yes,Yes,1,Unfurnished,Apartment,Low,15634000.0
Bengaluru,2972,2,2,1,26,Yes,Yes,2,Unfurnished,Independent House,Low,29054000.0
Chennai,3046,2,1,2,9,Yes,No,2,Semi Furnished,Apartment,Medium,30837000.0
Kadapa,1887,3,4,2,0,No,Yes,0,Fully Furnished,Apartment,Medium,13363000.0
Bengaluru,3494,3,2,4,3,Yes,Yes,2,Unfurnished,Villa,High,59326000.0
Hyderabad,4316,2,3,3,2,Yes,Yes,3,Unfurnished,Independent House,Medium,44622000.0
Delhi,1217,3,1,1,4,No,Yes,3,Fully Furnished,Plot,High,15893000.0
Kurnool,3984,1,4,4,11,Yes,Yes,1,Semi Furnished,Independent House,Low,22881000.0
Visakhapatnam,4934,3,3,1,24,Yes,Yes,0,Semi Furnished,Independent House,High,51567000.0
Bengaluru,1158,3,2,4,11,No,Yes,0,Semi Furnished,Plot,High,12679000.0
Nellore,4508,2,2,3,12,Yes,Yes,2,Semi Furnished,Apartment,High,33600000.0
Ongole,4734,1,4,4,23,No,Yes,0,Unfurnished,Villa,Low,29979000.0
Anantapur,4264,4,2,1,11,Yes,Yes,2,Fully Furnished,Apartment,Low,23894000.0
Pune,3489,4,1,2,24,No,Yes,2,Fully Furnished,Apartment,Medium,40449000.0
Anantapur,2604,5,4,2,15,No,Yes,0,Fully Furnished,Plot,Medium,12884000.0
Srikakulam,1755,3,3,3,12,Yes,Yes,1,Semi Furnished,Plot,High,8681000.0
Pune,2982,3,4,1,4,Yes,Yes,2,Semi Furnished,Apartment,High,39053000.0
Hyderabad,883,1,4,1,23,No,Yes,3,Fully Furnished,Independent House,Low,9744000.0
Tirupati,3107,4,3,1,3,Yes,Yes,3,Unfurnished,Villa,Low,26693000.0
Ongole,693,5,2,3,20,Yes,No,0,Semi Furnished,Independent House,Low,5075000.0
Visakhapatnam,4307,1,3,2,14,Yes,No,0,Unfurnished,Apartment,High,37787000.0
Kakinada,4219,3,1,4,11,No,Yes,2,Fully Furnished,Apartment,High,35931000.0
Hyderabad,3081,4,2,3,18,No,Yes,2,Semi Furnished,Villa,Low,38716000.0
Delhi,3065,5,4,4,20,Yes,Yes,3,Unfurnished,Independent House,High,45626000.0
Bengaluru,3263,2,2,2,27,Yes,Yes,2,Semi Furnished,Apartment,Low,32644000.0
Tirupati,3298,4,2,3,18,No,Yes,3,Fully Furnished,Apartment,Medium,27032000.0
Bengaluru,2839,5,1,2,20,No,Yes,2,Fully Furnished,Plot,Low,23937000.0
Vijayawada,3906,1,2,4,10,Yes,Yes,1,Fully Furnished,Villa,High,52907000.0
Bengaluru,1231,2,2,1,29,No,Yes,1,Unfurnished,Plot,High,9354000.0
Rajahmundry,3372,5,2,1,20,No,Yes,3,Semi Furnished,Plot,High,18296000.0
Rajahmundry,3620,5,4,4,5,Yes,Yes,1,Semi Furnished,Plot,High,21771000.0
Pune,4677,3,2,1,8,No,Yes,1,Semi Furnished,Apartment,Low,45058000.0
Srikakulam,3104,4,3,4,0,Yes,Yes,0,Fully Furnished,Independent House,Low,20553000.0
Ongole,2882,3,2,3,11,Yes,Yes,2,Unfurnished,Plot,Medium,12378000.0
Kakinada,1031,2,1,3,25,Yes,Yes,0,Fully Furnished,Independent House,Low,6659000.0
Nellore,4816,5,2,3,13,No,Yes,3,Fully Furnished,Apartment,Medium,34719000.0
Kurnool,1134,3,2,1,5,No,Yes,0,Unfurnished,Plot,Low,5379000.0
Vijayawada,2269,4,4,2,0,Yes,Yes,3,Fully Furnished,Apartment,Low,20830000.0
Hyderabad,4304,2,3,1,21,Yes,Yes,1,Fully Furnished,Plot,High,41277000.0
Kurnool,2870,1,2,1,1,Yes,Yes,0,Semi Furnished,Plot,Medium,12364000.0
Nellore,502,3,3,2,23,No,Yes,1,Unfurnished,Apartment,High,3726000.0
Guntur,705,2,1,2,10,No,Yes,2,Unfurnished,Villa,High,6523000.0
Kurnool,4635,1,4,2,2,Yes,Yes,1,Semi Furnished,Villa,Low,33114000.0
Kurnool,3121,3,3,2,9,Yes,Yes,2,Unfurnished,Independent House,Low,17389000.0
Mumbai,3390,2,4,1,29,Yes,Yes,1,Semi Furnished,Independent House,Medium,54262000.0
Tirupati,3693,2,2,4,5,Yes,Yes,0,Fully Furnished,Apartment,Medium,31238000.0
Kadapa,3166,3,1,3,5,Yes,Yes,0,Unfurnished,Apartment,Low,14931000.0
Kakinada,3806,2,4,4,30,No,Yes,1,Unfurnished,Apartment,Medium,21865000.0
Visakhapatnam,1397,5,2,1,19,Yes,Yes,3,Fully Furnished,Villa,Low,16793000.0
Rajahmundry,1585,3,3,2,20,Yes,Yes,3,Fully Furnished,Villa,Low,13668000.0
Nellore,1779,2,1,3,1,Yes,No,2,Unfurnished,Plot,Low,7545000.0
Tirupati,1170,1,1,3,25,Yes,Yes,2,Unfurnished,Plot,Medium,4714000.0
Kurnool,2005,1,3,4,30,Yes,Yes,1,Unfurnished,Apartment,High,11070000.0
Vijayawada,4075,5,3,1,25,Yes,Yes,0,Semi Furnished,Apartment,Medium,30469000.0
Kadapa,2455,3,1,1,23,Yes,Yes,2,Unfurnished,Independent House,High,14190000.0
Tirupati,749,2,4,1,9,No,Yes,1,Unfurnished,Villa,Medium,7508000.0
Bengaluru,2392,2,1,3,22,Yes,No,2,Fully Furnished,Apartment,High,35530000.0
Kurnool,3939,1,3,4,25,No,Yes,0,Fully Furnished,Villa,High,38249000.0
Pune,2353,5,4,3,5,Yes,Yes,2,Semi Furnished,Apartment,Medium,27643000.0
Kurnool,3354,1,2,3,22,Yes,Yes,1,Fully Furnished,Plot,Medium,14601000.0
Vijayawada,2003,1,1,2,27,Yes,Yes,2,Unfurnished,Apartment,High,15652000.0
Bengaluru,3885,5,3,4,16,No,Yes,3,Unfurnished,Plot,Low,27558000.0
Kadapa,4071,3,2,2,29,Yes,Yes,2,Semi Furnished,Independent House,High,26404000.0
Rajahmundry,4292,2,1,1,13,Yes,Yes,0,Fully Furnished,Independent House,High,37432000.0
Hyderabad,3926,3,1,3,4,No,Yes,0,Fully Furnished,Independent House,Low,44973000.0
Srikakulam,543,4,4,4,22,Yes,Yes,0,Fully Furnished,Apartment,High,4510000.0
Nellore,4112,4,3,1,16,No,Yes,0,Semi Furnished,Independent House,Low,26035000.0
Kurnool,3118,4,2,4,1,Yes,Yes,1,Fully Furnished,Apartment,Low,19458000.0
Tirupati,3663,5,1,3,8,Yes,Yes,2,Fully Furnished,Villa,Medium,42795000.0
Guntur,1788,1,4,4,11,Yes,No,2,Fully Furnished,Plot,High,12973000.0
Pune,3442,3,2,1,18,No,Yes,2,Unfurnished,Villa,High,51858000.0
Srikakulam,719,2,2,2,21,Yes,Yes,2,Semi Furnished,Apartment,Low,3681000.0
Bengaluru,2425,4,1,3,30,Yes,Yes,1,Unfurnished,Independent House,High,31553000.0
Guntur,3472,3,2,2,6,Yes,Yes,0,Semi Furnished,Plot,Low,15993000.0
Chennai,4013,4,1,3,8,Yes,Yes,2,Fully Furnished,Independent House,High,58105000.0
Kurnool,2948,4,4,1,20,No,Yes,2,Unfurnished,Villa,High,24846000.0
Nellore,3971,2,4,3,15,Yes,Yes,0,Fully Furnished,Apartment,Low,25523000.0
Kadapa,3274,5,2,2,19,Yes,No,3,Fully Furnished,Plot,Low,13675000.0
Tirupati,1490,1,1,3,10,Yes,Yes,3,Semi Furnished,Plot,High,9330000.0
Hyderabad,3446,5,3,1,11,Yes,Yes,0,Fully Furnished,Apartment,High,47847000.0
Kadapa,2312,3,4,3,14,Yes,Yes,2,Unfurnished,Apartment,Low,11344000.0
Visakhapatnam,1303,5,1,2,17,Yes,Yes,0,Semi Furnished,Plot,Medium,9121000.0
Guntur,989,3,1,1,18,No,No,2,Semi Furnished,Villa,Medium,9239000.0
Kurnool,4056,3,1,2,15,No,Yes,2,Unfurnished,Villa,High,32246000.0
Delhi,1993,1,2,3,14,Yes,Yes,3,Fully Furnished,Independent House,High,36001000.0
Ongole,4145,2,3,4,4,No,Yes,3,Fully Furnished,Plot,High,24839000.0
Nellore,3391,1,2,2,10,Yes,Yes,2,Fully Furnished,Apartment,Low,21235000.0
Ongole,2205,5,4,3,14,Yes,Yes,2,Fully Furnished,Apartment,High,19407000.0
Srikakulam,4016,3,2,4,28,Yes,Yes,2,Fully Furnished,Apartment,High,26452000.0
Vijayawada,3840,4,1,4,17,Yes,Yes,3,Semi Furnished,Apartment,High,34942000.0
Hyderabad,553,4,2,1,12,Yes,Yes,2,Semi Furnished,Plot,Medium,5186000.0
Rajahmundry,3075,3,1,4,3,No,Yes,0,Unfurnished,Villa,High,27424000.0
Vijayawada,4091,1,3,2,16,No,Yes,1,Fully Furnished,Independent House,High,44134000.0
Guntur,1115,2,2,2,3,Yes,Yes,1,Fully Furnished,Villa,Low,11153000.0
Nellore,1454,1,2,4,15,Yes,Yes,2,Fully Furnished,Independent House,Medium,11252000.0
Kakinada,2933,3,2,3,22,No,Yes,0,Unfurnished,Apartment,Low,15161000.0
Pune,2129,3,1,2,14,Yes,Yes,2,Fully Furnished,Apartment,High,30352000.0
Kakinada,3281,2,1,2,13,Yes,Yes,0,Semi Furnished,Plot,High,17788000.0
Kadapa,1149,5,2,1,11,Yes,Yes,3,Fully Furnished,Apartment,High,10097000.0
Bengaluru,2847,5,2,3,2,Yes,Yes,3,Unfurnished,Plot,High,27762000.0
Kurnool,4990,2,3,4,9,Yes,Yes,2,Semi Furnished,Plot,High,24740000.0
Visakhapatnam,3778,5,3,3,7,No,Yes,3,Semi Furnished,Plot,Low,22878000.0
Pune,3140,4,4,1,5,No,Yes,2,Semi Furnished,Apartment,High,41632000.0
Nellore,4301,5,3,1,21,Yes,No,1,Fully Furnished,Apartment,High,36251000.0
Srikakulam,3061,5,3,3,13,No,Yes,0,Unfurnished,Villa,Medium,20433000.0
Delhi,3749,5,3,1,30,Yes,Yes,0,Unfurnished,Independent House,Medium,45016000.0
Chennai,870,4,1,1,16,Yes,Yes,1,Fully Furnished,Villa,High,16196000.0
Kadapa,1357,5,3,1,20,No,Yes,1,Unfurnished,Apartment,High,8519000.0
Kakinada,883,4,3,3,18,Yes,Yes,1,Semi Furnished,Independent House,High,8136000.0
Vijayawada,4377,2,2,1,15,Yes,No,1,Semi Furnished,Plot,High,27525000.0
Srikakulam,3052,1,1,4,14,Yes,Yes,3,Unfurnished,Independent House,High,18351000.0
Visakhapatnam,4834,2,4,4,25,No,Yes,0,Unfurnished,Plot,High,29619000.0
Visakhapatnam,4790,1,4,2,14,No,Yes,0,Fully Furnished,Apartment,Low,39519000.0
Guntur,3225,2,3,4,0,No,Yes,1,Fully Furnished,Independent House,Low,25521000.0
Rajahmundry,4534,1,4,2,23,Yes,Yes,2,Fully Furnished,Plot,Low,19457000.0
Rajahmundry,3793,1,4,3,22,No,Yes,2,Fully Furnished,Villa,Medium,34694000.0
Kadapa,4751,3,4,1,22,Yes,Yes,2,Fully Furnished,Villa,High,44461000.0
Kakinada,4488,1,3,4,11,No,Yes,2,Fully Furnished,Plot,Medium,24250000.0
Nellore,1422,1,4,2,9,Yes,Yes,3,Semi Furnished,Villa,Medium,13485000.0
Chennai,3415,3,3,3,13,Yes,Yes,0,Unfurnished,Villa,Medium,41966000.0
Visakhapatnam,3450,5,2,2,9,Yes,Yes,0,Fully Furnished,Independent House,Low,32333000.0
Nellore,3546,5,2,1,9,No,Yes,0,Semi Furnished,Villa,High,36764000.0
Nellore,1474,3,4,4,19,No,Yes,2,Unfurnished,Independent House,High,11691000.0
Chennai,1730,4,2,3,28,Yes,Yes,1,Unfurnished,Apartment,Medium,16032000.0
Tirupati,2935,1,3,2,30,Yes,Yes,2,Unfurnished,Villa,Low,21922000.0
Hyderabad,2314,1,2,3,10,No,Yes,0,Fully Furnished,Apartment,Medium,26971000.0
Ongole,3434,3,4,2,21,Yes,Yes,2,Fully Furnished,Villa,Medium,30334000.0
Delhi,1863,3,3,2,15,No,Yes,1,Fully Furnished,Plot,High,22700000.0
Rajahmundry,4440,4,1,1,28,No,Yes,1,Unfurnished,Plot,Low,14711000.0
Rajahmundry,703,5,3,1,8,Yes,Yes,2,Unfurnished,Apartment,High,6741000.0
Anantapur,660,2,2,2,14,Yes,Yes,0,Semi Furnished,Apartment,Medium,3993000.0
Rajahmundry,4987,5,1,4,13,Yes,Yes,3,Semi Furnished,Apartment,High,37655000.0
Chennai,1268,1,3,3,18,Yes,Yes,0,Semi Furnished,Plot,Medium,9251000.0
Kurnool,4248,3,1,3,30,Yes,Yes,3,Semi Furnished,Apartment,Low,21165000.0
Guntur,3081,4,1,1,8,No,Yes,0,Unfurnished,Plot,High,16468000.0
Bengaluru,1593,5,1,4,3,Yes,Yes,2,Fully Furnished,Apartment,High,27157000.0
Guntur,5000,4,3,2,20,Yes,Yes,3,Fully Furnished,Independent House,High,47708000.0
Pune,1107,5,2,1,6,Yes,Yes,0,Fully Furnished,Independent House,High,18336000.0
Guntur,2040,1,3,2,21,Yes,Yes,2,Fully Furnished,Villa,High,24028000.0
Bengaluru,3375,2,2,2,25,No,No,0,Semi Furnished,Independent House,Low,37025000.0
Vijayawada,3691,4,3,1,7,Yes,Yes,1,Unfurnished,Apartment,Low,24661000.0
Chennai,2337,4,3,4,23,Yes,Yes,1,Fully Furnished,Independent House,High,33824000.0
Rajahmundry,1189,2,3,3,7,No,Yes,0,Unfurnished,Independent House,Medium,8639000.0
Rajahmundry,4259,4,2,1,18,Yes,Yes,2,Semi Furnished,Apartment,Medium,26324000.0
Anantapur,3449,4,3,4,14,Yes,Yes,0,Semi Furnished,Independent House,High,24896000.0
Kurnool,2603,5,1,2,15,Yes,Yes,2,Fully Furnished,Apartment,High,20574000.0
Kurnool,865,5,3,1,29,No,Yes,3,Fully Furnished,Independent House,Low,6217000.0
Visakhapatnam,4075,2,1,3,25,Yes,Yes,1,Semi Furnished,Apartment,Low,29414000.0
Anantapur,4699,1,4,3,21,No,Yes,3,Semi Furnished,Plot,High,21719000.0
Rajahmundry,4672,4,4,2,22,No,Yes,2,Unfurnished,Plot,High,22349000.0
Ongole,4825,1,2,1,8,Yes,Yes,0,Semi Furnished,Villa,Medium,37962000.0
Bengaluru,2878,2,2,3,25,Yes,Yes,1,Unfurnished,Independent House,Low,28214000.0
Bengaluru,1705,2,4,1,25,Yes,No,2,Semi Furnished,Villa,High,31107000.0
Guntur,4339,5,3,3,29,Yes,Yes,2,Unfurnished,Apartment,Low,23952000.0
Anantapur,3235,4,3,2,11,No,Yes,1,Semi Furnished,Plot,High,15723000.0
Tirupati,3847,3,3,2,30,Yes,Yes,0,Semi Furnished,Apartment,High,31622000.0
Kurnool,2175,2,4,1,15,Yes,Yes,1,Unfurnished,Villa,High,17535000.0
Guntur,798,4,1,4,3,No,Yes,0,Unfurnished,Apartment,High,7985000.0
Nellore,1456,1,2,4,4,Yes,Yes,0,Fully Furnished,Apartment,Medium,11066000.0
Guntur,1614,5,1,2,7,Yes,No,2,Fully Furnished,Apartment,High,16048000.0
Tirupati,3005,1,4,3,0,Yes,Yes,0,Semi Furnished,Apartment,Medium,24171000.0
Vijayawada,1974,2,1,4,27,Yes,Yes,0,Semi Furnished,Plot,Medium,10090000.0
Ongole,4960,2,3,2,5,No,Yes,1,Unfurnished,Apartment,High,31750000.0
Nellore,4946,1,3,3,14,Yes,Yes,1,Semi Furnished,Apartment,Low,27842000.0
Ongole,4226,2,1,3,3,Yes,Yes,0,Fully Furnished,Plot,Low,19050000.0
Guntur,3971,4,4,4,20,Yes,Yes,2,Unfurnished,Apartment,High,28694000.0
Kurnool,3328,2,1,2,10,Yes,No,1,Semi Furnished,Apartment,High,21671000.0
Hyderabad,3350,5,3,3,4,Yes,Yes,3,Unfurnished,Villa,High,51557000.0
Bengaluru,3006,4,3,3,17,Yes,Yes,2,Fully Furnished,Plot,Low,26458000.0
Tirupati,4270,3,4,1,23,No,No,1,Fully Furnished,Independent House,Low,33252000.0
Hyderabad,3464,2,1,1,14,No,Yes,1,Fully Furnished,Apartment,High,45872000.0
Bengaluru,1449,2,3,4,17,Yes,Yes,3,Semi Furnished,Villa,Low,21001000.0
Rajahmundry,3350,5,3,1,19,Yes,Yes,0,Semi Furnished,Plot,Medium,15429000.0
Nellore,665,5,1,2,27,Yes,Yes,1,Semi Furnished,Apartment,Low,4216000.0
Bengaluru,3986,1,1,4,12,Yes,Yes,3,Semi Furnished,Independent House,Low,44878000.0
Tirupati,3009,1,2,4,4,Yes,Yes,3,Semi Furnished,Apartment,High,27577000.0
Srikakulam,1419,1,4,1,29,Yes,Yes,1,Semi Furnished,Villa,Medium,8898000.0
Hyderabad,613,5,4,3,0,Yes,Yes,2,Fully Furnished,Plot,High,9561000.0
Vijayawada,4004,1,1,2,21,Yes,Yes,1,Fully Furnished,Villa,Low,40189000.0
Tirupati,1491,1,4,2,17,No,Yes,3,Semi Furnished,Plot,Medium,8005000.0
Tirupati,4339,3,3,2,13,Yes,Yes,1,Fully Furnished,Independent House,High,44907000.0
Kadapa,1758,1,1,4,4,No,Yes,2,Unfurnished,Apartment,Low,8580000.0
Nellore,3926,2,1,2,30,Yes,Yes,0,Semi Furnished,Villa,Medium,32385000.0
Kadapa,1014,5,1,3,5,Yes,Yes,0,Unfurnished,Independent House,High,8657000.0
Ongole,3696,4,2,3,26,No,Yes,1,Semi Furnished,Independent House,Medium,23638000.0
Rajahmundry,4934,3,4,1,23,Yes,Yes,1,Semi Furnished,Apartment,Low,27419000.0
Kurnool,3084,5,2,2,24,No,Yes,3,Fully Furnished,Villa,High,31077000.0
Kurnool,567,5,3,4,28,Yes,Yes,2,Unfurnished,Apartment,Low,3758000.0
Rajahmundry,2096,2,4,1,30,Yes,Yes,3,Fully Furnished,Apartment,Medium,14183000.0
Bengaluru,4978,1,2,3,27,Yes,Yes,3,Semi Furnished,Plot,Low,35563000.0
Chennai,518,2,1,2,15,Yes,Yes,0,Unfurnished,Plot,Medium,3618000.0
Kadapa,3230,1,2,3,21,No,Yes,3,Semi Furnished,Apartment,High,19505000.0
Srikakulam,4021,1,1,1,20,No,Yes,3,Fully Furnished,Plot,Low,14633000.0
Hyderabad,1072,5,2,3,11,No,Yes,0,Semi Furnished,Villa,High,19055000.0
Rajahmundry,2758,1,2,2,19,Yes,Yes,0,Semi Furnished,Plot,High,12881000.0
Delhi,3402,3,2,2,17,Yes,Yes,2,Fully Furnished,Independent House,High,60933000.0
Guntur,1150,3,1,1,1,Yes,Yes,2,Semi Furnished,Apartment,High,9979000.0
Bengaluru,3087,3,2,2,22,Yes,No,2,Unfurnished,Apartment,Low,29149000.0
Rajahmundry,3762,5,4,3,20,No,Yes,1,Fully Furnished,Villa,Low,31855000.0
Kadapa,1838,2,4,3,22,Yes,Yes,0,Semi Furnished,Apartment,High,11312000.0
Srikakulam,4134,4,4,4,12,Yes,Yes,1,Fully Furnished,Plot,High,21924000.0
Srikakulam,3327,1,1,4,26,Yes,Yes,1,Semi Furnished,Independent House,Medium,17095000.0
Tirupati,2717,4,1,4,16,No,Yes,2,Fully Furnished,Apartment,High,26610000.0
Mumbai,4039,2,4,3,16,No,Yes,0,Fully Furnished,Plot,Medium,49112000.0
Tirupati,1537,2,4,3,15,Yes,Yes,1,Unfurnished,Independent House,Medium,11737000.0
Nellore,4883,5,4,1,20,Yes,Yes,3,Fully Furnished,Apartment,High,41030000.0
Nellore,4478,3,3,4,17,Yes,Yes,3,Unfurnished,Apartment,Low,23710000.0
Rajahmundry,3461,3,4,3,7,Yes,Yes,0,Fully Furnished,Apartment,Medium,25808000.0
Ongole,3726,2,2,1,29,No,Yes,1,Fully Furnished,Independent House,Low,21955000.0
Pune,1598,5,3,3,30,Yes,Yes,2,Semi Furnished,Apartment,High,20539000.0
Kakinada,2824,5,3,1,2,Yes,Yes,1,Semi Furnished,Apartment,High,23677000.0
Chennai,1439,1,1,4,16,Yes,Yes,3,Semi Furnished,Plot,High,12413000.0
Rajahmundry,4216,3,2,4,28,Yes,No,3,Fully Furnished,Plot,High,24448000.0
Kakinada,3914,2,1,4,17,No,Yes,2,Fully Furnished,Plot,Medium,20804000.0
Kadapa,1948,4,1,3,25,Yes,Yes,0,Unfurnished,Plot,Medium,6744000.0
Guntur,1070,3,2,3,25,Yes,Yes,1,Unfurnished,Apartment,Low,5979000.0
Chennai,3404,1,1,1,22,No,Yes,3,Unfurnished,Independent House,Low,27726000.0
Nellore,3005,5,2,2,5,Yes,Yes,1,Semi Furnished,Apartment,Medium,20912000.0
Chennai,1417,2,2,2,27,No,Yes,2,Semi Furnished,Villa,High,21038000.0
Tirupati,2374,3,1,4,7,Yes,Yes,2,Unfurnished,Independent House,Low,16664000.0
Guntur,2178,4,4,2,22,Yes,Yes,0,Fully Furnished,Villa,Medium,22231000.0
Rajahmundry,1115,1,1,4,29,Yes,Yes,2,Semi Furnished,Apartment,Low,5261000.0
Bengaluru,2249,1,3,1,25,Yes,Yes,0,Semi Furnished,Independent House,Medium,27813000.0
Bengaluru,4325,3,1,2,12,Yes,Yes,1,Unfurnished,Independent House,High,57554000.0
Kakinada,4688,4,2,2,7,Yes,Yes,3,Semi Furnished,Plot,Medium,24155000.0
Kakinada,2977,1,3,4,18,Yes,Yes,3,Unfurnished,Apartment,Low,15556000.0
Ongole,4005,2,2,1,5,Yes,Yes,0,Semi Furnished,Villa,Medium,32117000.0
Kakinada,3975,1,4,2,28,Yes,Yes,3,Fully Furnished,Independent House,Low,27361000.0
Visakhapatnam,1635,4,4,2,22,No,Yes,0,Fully Furnished,Independent House,Low,15245000.0
Kadapa,4500,5,3,2,14,Yes,Yes,0,Semi Furnished,Plot,Low,17638000.0
Kurnool,874,5,4,1,9,Yes,Yes,1,Unfurnished,Independent House,High,7788000.0
Vijayawada,706,3,4,1,26,No,Yes,1,Semi Furnished,Plot,High,4627000.0
Anantapur,1819,4,1,2,16,Yes,Yes,2,Unfurnished,Independent House,Medium,9574000.0
Delhi,1641,1,1,4,0,Yes,Yes,0,Semi Furnished,Independent House,Medium,23466000.0
Vijayawada,3190,1,4,4,6,Yes,Yes,1,Fully Furnished,Apartment,Low,25953000.0
Pune,3755,5,4,2,28,Yes,Yes,0,Fully Furnished,Independent House,High,56542000.0
Kadapa,589,5,1,1,26,Yes,Yes,0,Semi Furnished,Plot,Medium,2474000.0
Srikakulam,4608,2,4,2,12,No,Yes,0,Semi Furnished,Plot,Medium,17583000.0
Anantapur,3520,5,4,1,2,No,No,1,Semi Furnished,Plot,High,18302000.0
Kurnool,2357,2,2,2,18,Yes,Yes,0,Fully Furnished,Villa,Low,17545000.0
Guntur,1304,1,4,1,14,Yes,Yes,0,Fully Furnished,Independent House,Medium,10514000.0
Pune,1444,2,3,3,4,Yes,Yes,2,Unfurnished,Apartment,Low,13712000.0
Kadapa,3289,2,2,4,30,No,Yes,0,Semi Furnished,Apartment,High,18795000.0
Delhi,4375,3,3,3,10,Yes,Yes,2,Semi Furnished,Villa,High,87591000.0
Pune,2110,5,4,4,21,Yes,Yes,0,Fully Furnished,Independent House,Medium,28109000.0
Anantapur,3423,2,1,1,17,Yes,No,2,Semi Furnished,Plot,Medium,13172000.0
Pune,4382,1,2,3,2,Yes,Yes,1,Unfurnished,Villa,High,66389000.0
Kakinada,3721,4,1,4,5,Yes,Yes,1,Semi Furnished,Villa,Low,30602000.0
Pune,4891,2,2,2,2,Yes,Yes,3,Fully Furnished,Plot,Low,38612000.0
Rajahmundry,2887,5,1,1,29,No,Yes,0,Semi Furnished,Villa,High,27265000.0
Pune,1441,3,2,1,4,Yes,No,3,Fully Furnished,Villa,Medium,24101000.0
Anantapur,3066,1,2,2,8,Yes,Yes,3,Unfurnished,Plot,High,13335000.0
